conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1.01E+18,Thu Jun 14 08:31:22 +0000 2018,0,Jadwal piala dunia 8 besar gengs: Jumat 6 Juli 2018 Pukul 21.00 WIB: uruguayguay Vs Prancis Sabtu 7 Juli 2018 Pukul 01.00 WIB: Brasil Vs Belgia Pukul 21.00 WIB: Swedia Vs Inggris Minggu 8 Juli 2018 Pukul 01.00 WIB: Rusia Vs Kroasia,1.01E+18,,,in,,0,0,0,https://twitter.com/officialigakita/status/1007178670044090369,9.94E+17,officialigakita
1.01E+18,Thu Jun 14 08:35:30 +0000 2018,0,Pertandinga seru selama 8 besar piala dunia 2018 rusia,1.01E+18,,,in,,0,0,0,https://twitter.com/nokojanoko1/status/1007179713415208961,1631914170,nokojanoko1
1.01E+18,Thu Jun 14 08:38:31 +0000 2018,0,Pembukaan Piala Dunia nya gak asik nih...kurang Via Vallen #WorldCup #PialaDunia,1.01E+18,,,in,East Borneo,0,0,0,https://twitter.com/AtikaNovitsari/status/1007180469555773441,558239468,AtikaNovitsari
1.01E+18,Thu Jun 14 08:41:47 +0000 2018,0,Malam takbiran bareng sama opening ceremony piala dunia kasian pemain Arab Saudi pasti ga fokus karena mikirin opor onta,1.01E+18,,,in,Tangerang Selatan,0,0,0,https://twitter.com/Kagiraa/status/1007181293606408197,176068362,Kagiraa
1.01E+18,Thu Jun 14 08:45:54 +0000 2018,0,@SiaranBolaLivee Piala dunia kali ini mmg sesuatu bingits. Bnyk hal2 br trjadi. Faktor Putin sptny..? :D,1.01E+18,,SiaranBolaLivee,in,"Sleman, Indonesia",0,0,0,https://twitter.com/RahmatRRor/status/1007182328370589696,935910894,RahmatRRor
1.01E+18,Thu Jun 14 08:48:12 +0000 2018,0,Kartu kuning Jesus Gallarado #Mex pada detik ke-15 jadi yang tercepat sepanjang sejarah Piala Dunia. Dari Opta bukan VAR. #WorldCup,1.01E+18,,,in,location,0,1,0,https://twitter.com/musyaffa2013/status/1007182909457854464,9.23E+17,musyaffa2013
1.01E+18,Thu Jun 14 08:59:59 +0000 2018,1,@ariel_heryanto Jadi nanti malam ada nobar bela Saudi untuk pertandingan pembukaan Piala Dunia 2018? #kearabaraban,1.01E+18,,ariel_heryanto,in,,0,0,0,https://twitter.com/nova__setyanto/status/1007185873513771008,8.08E+17,nova__setyanto
1.01E+18,Thu Jun 14 09:08:22 +0000 2018,0,Bola Mati shngga terjadi Explotation de lohme par lohme..Kroasia ta berdaya Gempuran Kapitalis semu. Sebentar lagi ada permainan ala kampung #GARESAN kaki tontonan yang mengasyikkan Amerika di seterika Inggris di Linggis @TRANSTV_CORP @pialaduniarusia @IndoWorldCup,1.01E+18,,,in,,0,0,0,https://twitter.com/kyozuki10/status/1007187984808939520,299675306,kyozuki10
1.01E+18,Thu Jun 14 09:15:56 +0000 2018,0,@farisfarrel @im4r4h @FerdinandHutah1 PEMBUKAAN PIALA DUNIA 2018 BERTEPATAN DENGAN MALAM IDUL FITRI. ITU HANYA TERJADI DI ZAMAN JOKOWI,1.01E+18,,,in,,0,0,0,https://twitter.com/Ican38496602/status/1007189887974379521,9.73E+17,Ican38496602
1.01E+18,Thu Jun 14 09:37:37 +0000 2018,0,Pembukaan piala dunia 2018 Rusia vs Arab saudi InsyaAllah arab saudi yang menang karna dapat keberkahan di malam takbiran ,1.01E+18,,,in,Depok || Tegal,1,0,0,https://twitter.com/afifnurc/status/1007195345648906241,558733744,afifnurc
1.01E+18,Thu Jun 14 09:40:28 +0000 2018,1,Nanti malem russia vs arabsaudi pembukaan piala dunia Di pastikan harga minyak dunia naik k,1.01E+18,,,in,#hiduppurapura,0,0,0,https://twitter.com/djubido/status/1007196062904246273,60834034,djubido
1.01E+18,Thu Jun 14 09:42:55 +0000 2018,0,Nanti takbiran sama pembukaan piala dunia,1.01E+18,,,in,,0,0,0,https://twitter.com/auliaaramadhan/status/1007196676421926912,250936128,auliaaramadhan
1.01E+18,Thu Jun 14 09:44:24 +0000 2018,0,Pehh penalti. Penalti ke-6 utk Piala Dunia kali ni kali ke-2 penalti ditentukan melalui VAR kan?,1.01E+18,,,in,♛ Mars ♛,0,0,0,https://twitter.com/dhmsjln/status/1007197051535290368,310077868,dhmsjln
1.01E+18,Thu Jun 14 09:48:18 +0000 2018,4,Malam ini mau takbiran apa mau liat pembukaan piala dunia enaknya?,1.01E+18,,,in,"Kuala Lumpur, Wilayah Persekut",0,1,0,https://twitter.com/kalkitoos/status/1007198031962206208,7.97E+17,kalkitoos
1.01E+18,Thu Jun 14 10:09:01 +0000 2018,0,Ojek online 3thn nabung 1jt/bln demi nonton piala dunia live di rusia,1.01E+18,,,in,"Bandung, Jogjakarta",0,0,0,https://twitter.com/dieka2501/status/1007203245377245184,71126244,dieka2501
1.01E+18,Thu Jun 14 10:10:17 +0000 2018,1,Takbiran tak semeriah pembukaan piala dunia jadi syedih,1.01E+18,,,in,in a crushed tin box ,0,2,4,https://twitter.com/ryswanto/status/1007203563116769280,165530634,ryswanto
1.01E+18,Thu Jun 14 10:14:36 +0000 2018,0,Sedih pembukaan Piala Dunia dikemas kayak gini ckckck,1.01E+18,,,in,INDONESIA,0,1,0,https://twitter.com/agsn_/status/1007204650892681216,549116871,agsn_
1.01E+18,Thu Jun 14 10:15:10 +0000 2018,0,Serasa nonton final piala dunia. Najan kalah Rusia nunjukkan kelasnya sebagai petarung sejati. Yaitu the losser. :-P,1.01E+18,,,in,"Kalimantan Selatan, Indonesia",0,0,0,https://twitter.com/MMyteatime/status/1007204792500797440,141134591,MMyteatime
1.01E+18,Thu Jun 14 10:19:13 +0000 2018,0,Tribun atas stadion Luzhniki ini masih banyak yang kosong ini sekelas opening ceremony piala dunia loh ,1.01E+18,,,in,,0,0,0,https://twitter.com/ratnadewikw/status/1007205812555485189,997634766,ratnadewikw
1.01E+18,Thu Jun 14 10:20:45 +0000 2018,0,Jangan lupa nanti malam pembukaan piala dunia 2018... #AbaikanJerseynya #ForzaAzzuri,1.01E+18,,,in,bawah langit,0,0,0,https://twitter.com/kokoromyy/status/1007206199362588673,265983643,kokoromyy
1.01E+18,Thu Jun 14 10:29:55 +0000 2018,0,Pembukaan yang membosankan kerana pasukan dari kalangan bawahan. Begitulah nasib kalau tuan rumah tidak terkenal dengan bolasepak. Jadi Malaysia kena fikir panjang tatkala memasang cita-cita nak jadi tuan rumah Piala Dunia,1.01E+18,,,in,Indonesia,0,0,0,https://twitter.com/Nirwansyah/status/1007208505399365632,60054724,Nirwansyah
1.01E+18,Thu Jun 14 10:31:49 +0000 2018,0,Argentina Portugal &amp; Spanyol pulang. Final Meksiko vs Rusia ini mah. Yang udah punya niat bisnis nobar final pildun bisa jadi deg-degan. #WorldCup,1.01E+18,,,in,JKT,0,0,1,https://twitter.com/taplaks/status/1007208982488891392,27908260,taplaks
1.01E+18,Thu Jun 14 10:35:23 +0000 2018,1,anjai selama 24 tahun pertama kali jerman belum golin di menit ke 20 partai pembukaan piala dunia mereka.,1.01E+18,,,in,Tangerang Selatan,0,0,0,https://twitter.com/utaryo0909/status/1007209880468402176,874959530,utaryo0909
1.01E+18,Thu Jun 14 10:50:10 +0000 2018,0,Ternyata adanya VAR justru bikin nambah drama di piala dunia.. #PER #DEN #WorldCup,1.01E+18,,,in,"West Java, Indonesia",0,0,0,https://twitter.com/fefizh/status/1007213600623157248,234355348,fefizh
1.01E+18,Thu Jun 14 10:50:14 +0000 2018,0,Itu hakim garisnya kenapa liat wasit utama terus takut sama putin kayanya jadi setengah2 angkat benderanya. Level piala dunia masih ada yaa hakim garis nerpes ,1.01E+18,,,in,tweefontein SA,0,0,0,https://twitter.com/thokozani_dush/status/1007213619963187201,1616182542,thokozani_dush
1.01E+18,Thu Jun 14 10:54:12 +0000 2018,0,ndelok piala dunia gowo spanduk #2019GantiPresiden ning stadion rusia ... langsung disniper karo Putin ,1.01E+18,,,in,Indonesia,0,0,0,https://twitter.com/firusping/status/1007214617586614274,232464899,firusping
1.01E+18,Thu Jun 14 10:57:54 +0000 2018,0,Sambil takbiran sambil nonton pembukaan.. Marhaban Ya Piala Dunia.. #WorldCupRussia2018,1.01E+18,,,in,Pandaan,0,0,0,https://twitter.com/StarFM1055/status/1007215547036065792,491973915,StarFM1055
1.01E+18,Thu Jun 14 10:58:06 +0000 2018,0,@vnsn__ Keuntungan dukung tim Serie-A udah biasa sama VAR sejak musim lalu jd udah ga kaget pas nonton Piala Dunia,1.01E+18,,vinxkvn,in,"Kalideres, Indonesia",1,0,1,https://twitter.com/mpazzhole/status/1007215599129321472,43858866,mpazzhole
1.01E+18,Thu Jun 14 11:01:33 +0000 2018,0,@ZulPiliank @detikcom heh! jangan main twitter milik orang kafir. jangan nonton piala dunia itu di negara atheis komunis Rusia.,1.01E+18,,zarryhendrik,in,,0,0,0,https://twitter.com/nvndrynt/status/1007216468365152256,62717005,nvndrynt
1.01E+18,Thu Jun 14 11:02:06 +0000 2018,1,Sebenernya piala dunia tahun ini lumayan konyol jg gara2 adanya VAR. Jadi banyak dramanya,1.01E+18,,,in,martapura,0,0,0,https://twitter.com/ardy_andrez/status/1007216605338750976,103835764,ardy_andrez
1.01E+18,Thu Jun 14 11:02:20 +0000 2018,0,Piala Dunia 2018. Sampai hari ke-8 belum ada pertandingan berakhir dengan skor 0-0. Padahal pada 2014 2010 dan 2006 masing2 ada 5 pertandingan dengan skor 0-0 di penyisihan grup. Penyebabnya: tekno garis gol dan video asisten (VAR). #WorldCup2018 @FIFAWorldCup,1.01E+18,,,in,,0,0,0,https://twitter.com/yeni_naibaho/status/1007216663241089024,1592520672,yeni_naibaho
1.01E+18,Thu Jun 14 11:05:22 +0000 2018,0,Russia Melawan Saudi Arabia Kali terakhir kedua pasukan ini bertemu adalah pada Oktober 1993. Arab Saudi menang ketika itu dengan skor 4-2. Setelah sekian lama mereka 'dijodohkan' kembali dalam perlawanan pembukaan Piala Dunia 2018. Aaaaaah...tentu sekali!,1.01E+18,,,in,,0,0,0,https://twitter.com/dptdrs/status/1007217425270521856,730234784,dptdrs
1.01E+18,Thu Jun 14 11:10:08 +0000 2018,0,Pembukaan piala dunia tapi mainnya gaada greget-gregetanya,1.01E+18,,,in,All Blue,0,1,0,https://twitter.com/DanangJunior/status/1007218626816925699,442335463,DanangJunior
1.01E+18,Thu Jun 14 11:11:25 +0000 2018,0,di tengah-tengah canggihnya system VAR piala dunia masih bisa juga tercipta goal tangan tuhan... #tapikegawangsendiri #pialadunia2018,1.01E+18,,,in,"Yogyakarta, Indonesia",0,0,0,https://twitter.com/Achmad_JS/status/1007218948029349888,217801644,Achmad_JS
1.01E+18,Thu Jun 14 11:14:15 +0000 2018,0,Sikalaus 20 tahun... Generasi Emas Les Bleus prancis melaju k Final Pildun Rusia 2018 stelah mngalahkan Generasi Emas Belgia 1-0. Adu taktik dan strategi Deschamps vs Martinez akhirnya dmenangkan Deschamp..,1.01E+18,,,in,pertelon belok kiri,0,0,0,https://twitter.com/bagasgas_/status/1007219663690915840,156893409,bagasgas_
1.01E+18,Thu Jun 14 11:17:38 +0000 2018,0,@E_SintiaJKT48 Selamar berbuka puasa jg yah hehe aku malam takbiran nongs sambil nonbar pembukaan piala dunia antara Rusia vs arab saudi sin hehe,1.01E+18,,,in,"Jakarta Selatan, DKI Jakarta",0,1,0,https://twitter.com/ThisIsLons/status/1007220515629436928,8.59E+17,ThisIsLons
1.01E+18,Thu Jun 14 11:19:38 +0000 2018,0,Malam ini pemaen argentina googling : open BO rusia promo pildun ,1.01E+18,,,in,Kartasura - Sukoharjo,0,0,0,https://twitter.com/fajarbaskoronur/status/1007221016756551681,391988377,fajarbaskoronur
1.01E+18,Thu Jun 14 11:19:55 +0000 2018,0,Piala Dunia jd ga asik sejak VAR di pke hampir setiap pertandingan ada pinalti.ini mengurangi seni dan indahnya bola dg kontroversi wasit.,1.01E+18,,,in,Jakarta Capital Region,0,1,0,https://twitter.com/randyysa/status/1007221089875841024,309125524,randyysa
1.01E+18,Thu Jun 14 11:32:25 +0000 2018,1,Inggris harus menyelamatkan Piala Dunia dengan masuk final... Masih kurang sreg kalo tim2 kyk Kroasia Rusia apalagi Swedia yang masuk final... Untuk lawannya di final saya sih maunya lawan Brasil... Tapi kyknya Brasil akan takalauk dari Prancis di semi-final...,1.01E+18,,,in,Bali,1,1,1,https://twitter.com/netijenbali/status/1007224233473159169,9.71E+17,netijenbali
1.01E+18,Thu Jun 14 12:05:12 +0000 2018,0,Malam ini pembukaan piala dunia besok lebaran.,1.01E+18,,,in,"West Sumatra, Indonesia",0,1,0,https://twitter.com/MDS_adiyan/status/1007232483870441474,823115522,MDS_adiyan
1.01E+18,Thu Jun 14 12:06:03 +0000 2018,0,Menuju pembukaan Piala Dunia 2018 berharap ada Via Vallen dan Nella Kharisma... Russia siap digoyang k #pialadunia2018 #WorldCup2018,1.01E+18,,,in,Indonesia,0,0,0,https://twitter.com/muruguayhpuy/status/1007232699721904128,51163854,muruguayhpuy
